,Item,Quantity,Price per unit (CAD),Total Price (CAD),Note,Link
,DFPlayer Mini,1,2.75,2.75,,https://www.aliexpress.com/item/1005006166800318.html?spm=a2g0o.productlist.main.8.446ee7adoBF0aF&aem_p4p_detail=202606192207094708106485225220001410944&algo_pvid=197e849e-1a53-486f-bb11-674fa5aa1214&algo_exp_id=197e849e-1a53-486f-bb11-674fa5aa1214-7&pdp_ext_f=%7B%22order%22%3A%222160%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.74%211.43%21%21%2112.84%216.70%21%402101d9ef17819320297315402eb4e4%2112000037327793485%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=esrEVw5hCwAk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006166800318%7C_p_origin_prod%3A&search_p4p_id=202606192207094708106485225220001410944_2
,MFRC522,1,2.5,2.5,comes with 1 RFID Card,https://www.aliexpress.com/item/1005005569224935.html?spm=a2g0o.productlist.main.3.4d022a37CJ1gP2&algo_pvid=3bd9ca51-0e25-4ddd-a8d6-6ff37601c5d2&algo_exp_id=3bd9ca51-0e25-4ddd-a8d6-6ff37601c5d2-2&pdp_ext_f=%7B%22order%22%3A%22228%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.50%211.43%21%21%211.73%210.99%21%40210328c017819325026751913ed02d%2112000033590550343%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=bReddcnZ4Y6q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005569224935%7C_p_origin_prod%3A
,Tact Switches,50,0.0558,2.79,,https://www.aliexpress.com/item/32801665868.html?spm=a2g0o.productlist.main.3.2990c62dAtB5EZ&algo_pvid=a4636e3f-101b-4860-8a03-2912cb8fdee8&algo_exp_id=a4636e3f-101b-4860-8a03-2912cb8fdee8-2&pdp_ext_f=%7B%22order%22%3A%22125%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.79%211.43%21%21%211.93%210.99%21%402101e81117819321865984757e723a%2164181638973%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=07qkF7u8c6qe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32801665868%7C_p_origin_prod%3A
,16x2 LCD,1,4.47,4.47,,https://www.aliexpress.com/item/1005007825614260.html?spm=a2g0o.productlist.main.6.9d6b1ff9t10mAA&algo_pvid=7a2dc6ae-ee34-45be-a835-5ecbb4164372&algo_exp_id=7a2dc6ae-ee34-45be-a835-5ecbb4164372-1&pdp_ext_f=%7B%22order%22%3A%22128%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.15%211.43%21%21%2110.06%216.69%21%402101f11417819324607312611e7381%2112000042345467919%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=qqjOpZGK9mT3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007825614260%7C_p_origin_prod%3A
,3 watt 8 Ohm Speakers,2,4.23,8.46,Comes with one but you need to buy 2,https://www.aliexpress.com/item/1005009465850637.html?spm=a2g0o.productlist.main.17.539a3173ySIzU0&utparam-url=scene%3Asearch%7Cquery_from%3Apc_back_same_best%7Cx_object_id%3A1005009465850637%7C_p_origin_prod%3A&algo_pvid=3b93aa93-1296-4442-a3c8-1e9b6c3a2499&algo_exp_id=3b93aa93-1296-4442-a3c8-1e9b6c3a2499&pdp_ext_f=%7B%22order%22%3A%22482%22%2C%22spu_best_type%22%3A%22price%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%214.23%211.43%21%21%2119.84%216.73%21%402101dedf17819323353705280ef839%2112000049189254384%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207285297
,RFID Cards,10,0.164,1.64,You only need 3 total,https://www.aliexpress.com/item/1005006163193929.html?spm=a2g0o.productlist.main.3.39baFDCvFDCvtu&algo_pvid=82943d31-92a6-48bc-b910-34263ee939f3&algo_exp_id=82943d31-92a6-48bc-b910-34263ee939f3-56&pdp_ext_f=%7B%22order%22%3A%22119%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.64%211.54%21%21%217.70%217.24%21%402103122117819325658866956ec56d%2112000037852143985%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=ps5rMU4dKvHw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006163193929%7C_p_origin_prod%3A
,Arduino UNO R3,1,4.01,4.01,,https://www.aliexpress.com/item/1005005401781711.html?spm=a2g0o.productlist.main.1.47ae576eXDHlXu&algo_pvid=8cb87e05-9609-4beb-8db6-0144d3977d94&algo_exp_id=8cb87e05-9609-4beb-8db6-0144d3977d94-8&pdp_ext_f=%7B%22order%22%3A%22147%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.16%211.16%21%21%210.80%210.80%21%402103212517819326614692619e0efc%2112000033125741131%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=v5ktPjw5AXjX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005401781711%7C_p_origin_prod%3A
,Jumper wires,40 of each ,0.0345,4.14,"Comes with FF, MF, and MM ",https://www.aliexpress.com/item/32481623557.html?spm=a2g0o.productlist.main.1.7ddc18e2NfRFgW&algo_pvid=f6db2e9a-0adc-4e6d-bfb3-ed1afaa6875b&algo_exp_id=f6db2e9a-0adc-4e6d-bfb3-ed1afaa6875b-0&pdp_ext_f=%7B%22order%22%3A%221429%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.10%211.10%21%21%210.76%210.76%21%40210328df17819327440992085e646b%2110000001724294903%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=4Euovy9Lhezh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32481623557%7C_p_origin_prod%3A
,Mini Breadboard,1,0.8,0.8,,https://www.aliexpress.com/item/32834323771.html?spm=a2g0o.productlist.main.2.cbe074b29yQdfg&algo_pvid=ac3dd39d-9abf-4778-92f4-9f4da91c3648&algo_exp_id=ac3dd39d-9abf-4778-92f4-9f4da91c3648-18&pdp_ext_f=%7B%22order%22%3A%2254%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%210.80%210.76%21%21%210.55%210.52%21%40210328c017819328723223323ed022%2165116380046%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=pX77Ioft9QoW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32834323771%7C_p_origin_prod%3A
,M2 and M3 Screws,230,0.03517391304,8.09,,https://www.aliexpress.com/item/1005004833515587.html?spm=a2g0o.productlist.main.1.40d86f1dY5zZB0&algo_pvid=b3771f58-4738-4836-916b-318ddcb21f60&algo_exp_id=b3771f58-4738-4836-916b-318ddcb21f60-0&pdp_ext_f=%7B%22order%22%3A%222389%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%218.09%211.43%21%21%2137.91%216.69%21%402103129017819330469468676e2a9f%2112000030659841609%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207285309&curPageLogUid=QxA29IVfwcYp&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004833515587%7C_p_origin_prod%3A
,SD Card 32 GB,1,9.9,9.9,,https://www.amazon.ca/Class10-Memory-Extreme-Compatibility-Meomory/dp/B0GKPVR4RH/ref=asc_df_B0GKPVR4RH?mcid=81cbb74f2ead3923ab9d08bb27903260&tag=googleshopc0c-20&linkCode=df0&hvadid=796329561522&hvpos=&hvnetw=g&hvrand=11150107651841269628&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9000833&hvtargid=pla-2465636681969&psc=1&hvocijid=11150107651841269628-B0GKPVR4RH-&hvexpln=0&gad_source=1
,AA Batteries ,4,0.4,1.6,,https://www.aliexpress.com/item/1005011987720458.html?spm=a2g0o.productlist.main.1.46d30Ect0Ect1D&algo_pvid=25d14902-cc21-4dad-9b74-945e6a47aa6e&algo_exp_id=25d14902-cc21-4dad-9b74-945e6a47aa6e-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%211.58%210.87%21%21%217.50%214.12%21%402103129f17814766019615394e4f28%2112000057216482008%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895&curPageLogUid=UbjYgcGQ235k&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011987720458%7C_p_origin_prod%3A
,4X battery pack ,1,"2,82",2.82,,https://www.aliexpress.com/item/1005004197639879.html?spm=a2g0o.productlist.main.3.78bcrN2irN2iWq&algo_pvid=3959816d-988b-433e-b181-fdd8f41c9674&algo_exp_id=3959816d-988b-433e-b181-fdd8f41c9674-2&pdp_ext_f=%7B%22order%22%3A%22902%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%212.31%211.41%21%21%2110.96%216.68%21%402103110517810489165878544ef627%2112000028350237278%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872240&curPageLogUid=ckLS0CoZgpTw&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004197639879%7C_p_origin_prod%3A
,9V battery ,1,3.97,3.97,,https://www.walmart.ca/en/ip/Great-Value-9-V-6LR61-Alkaline-Battery-1-Pack-5-year-storage-life/6000196063059?selectedSellerId=0&wl13=3054
,Snap cable connector,10,0.305,3.05,"Only need 1, comes with 10",https://www.aliexpress.com/item/32874851624.html?spm=a2g0o.productlist.main.2.79ee2770HAfvJg&algo_pvid=e4ddf1f3-6995-4303-8d09-1deeadcd411a&algo_exp_id=e4ddf1f3-6995-4303-8d09-1deeadcd411a-8&pdp_ext_f=%7B%22order%22%3A%22540%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CAD%213.05%211.43%21%21%212.11%210.99%21%40210319b717820040473403046e7424%2165602788629%21sea%21CA%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b03ab8%3Bm03_new_user%3A-29895%3BpisId%3A5000000207285297&curPageLogUid=SwmAeShmx63n&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32874851624%7C_p_origin_prod%3A
,3D printer,1,--,--,All parts are printed,https://ca.elegoo.com/products/elegoo-neptune-3-pro-fdm-3d-printer-225x225x280mm?variant=47691001331990&gad_source=1&gad_campaignid=21146430435&gbraid=0AAAAA9aWblxIYPv2Kgx6X_TRb_BmVVuXP&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTtcdhLPb5SRrrhN0RQ8vhm2l5y1o7px3MID8ENAvBih1Dg-k_EFNfhoClagQAvD_BwE
Total,--,--,28.94947391,49.55,,